Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Has_Cabin,FamilySize,IsAlone,Embarked_Q,Embarked_S,AgeGroup_Teen,AgeGroup_YoungAdult,AgeGroup_Adult,AgeGroup_Senior
0,3,1,-0.6141930944583193,1,0,-0.7038650453657448,0,0.8791481280665769,0,False,True,False,True,False,False
1,3,0,-0.3201584205729497,0,0,-0.6524176445031797,0,-0.584020387675433,1,False,True,False,True,False,False
1,1,0,0.34141959566913194,1,0,2.790747294706262,1,0.8791481280665769,0,False,True,False,True,False,False
0,3,1,0.34141959566913194,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,,0,0,-0.6117703869031711,0,-0.584020387675433,1,True,False,False,False,False,False
0,1,1,1.7380842966246375,0,0,2.6964270597915596,1,-0.584020387675433,1,False,True,False,False,True,False
1,3,0,-0.24664975210160728,0,2,-0.40788624274411717,0,2.3423166438085867,0,False,True,False,True,False,False
1,2,0,-1.2022624422290584,1,0,1.0354991703445116,0,0.8791481280665769,0,False,False,True,False,False,False
1,3,0,-1.9373491269424825,1,1,0.016398566710165013,1,2.3423166438085867,0,False,True,False,False,False,False
1,1,0,2.032118970510007,0,0,0.7671495274453727,1,-0.584020387675433,1,False,True,False,False,True,False
0,3,1,-0.7612104314010041,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,-1.2022624422290584,0,0,-0.6578139052158756,0,-0.584020387675433,1,False,True,True,False,False,False
1,2,0,1.81159296509598,0,0,-0.03695429344360603,0,-0.584020387675433,1,False,True,False,False,True,False
1,2,1,,0,0,-0.2656094083883393,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,0,0.047384921783762336,1,0,0.11548244985288282,0,0.8791481280665769,0,False,True,False,True,False,False
1,3,0,,0,0,-0.7057705046569509,0,-0.584020387675433,1,False,False,False,False,False,False
0,2,1,0.34141959566913194,0,0,0.7252294230388382,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,1,0.26791092719778953,0,0,-0.2656094083883393,1,-0.584020387675433,1,False,True,False,True,False,False
1,3,0,-1.128753773757716,0,0,-0.6444756901774328,0,-0.584020387675433,1,True,False,True,False,False,False
1,1,1,-0.17314108363026487,0,0,1.4493039536971604,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,,0,0,-0.7057705046569509,0,-0.584020387675433,1,False,False,False,False,False,False
1,3,0,,0,0,-0.6559084459246693,0,-0.584020387675433,1,True,False,False,False,False,False
0,3,1,,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,False,False,False
0,1,1,0.708962938025844,0,0,0.8563859969711373,0,-0.584020387675433,1,False,False,False,False,True,False
1,3,0,,0,0,-0.6657558595416225,0,-0.584020387675433,1,True,False,False,False,False,False
0,2,1,2.620188318280747,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,False,False,True
0,1,1,0.8559802749685288,1,0,2.706907085893193,0,0.8791481280665769,0,False,True,False,False,True,False
1,3,1,,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,False,False,False
0,3,1,-0.6877017629296617,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,-0.9082277683436889,2,0,0.11548244985288282,0,2.3423166438085867,0,False,True,True,False,False,False
1,3,0,-1.2022624422290584,1,0,-0.3996241712574475,0,0.8791481280665769,0,False,False,True,False,False,False
0,3,0,0.708962938025844,1,0,-0.534279168448401,0,0.8791481280665769,0,False,True,False,False,True,False
0,2,0,-0.24664975210160728,1,0,0.3441375647976161,0,0.8791481280665769,0,False,True,False,True,False,False
0,3,1,,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,False,False,False,False,False
1,3,0,-0.8347190998723465,0,0,-0.6559084459246693,0,-0.584020387675433,1,True,False,False,True,False,False
0,3,1,,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,1,,1,0,-0.07506347926772824,0,0.8791481280665769,0,True,False,False,False,False,False
1,3,0,,0,0,-0.6657558595416225,0,-0.584020387675433,1,True,False,False,False,False,False
0,3,1,,2,0,0.3959050828211038,0,2.3423166438085867,0,False,False,False,False,False,False
0,3,0,-0.9082277683436889,1,0,0.10023877552323399,0,0.8791481280665769,0,False,True,True,False,False,False
0,3,1,-0.6877017629296617,0,0,-0.6619449409592103,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,0,-0.09963241515892246,1,0,0.7252294230388382,0,0.8791481280665769,0,False,True,False,True,False,False
0,1,1,2.546679649809404,0,1,3.467505460245354,1,0.8791481280665769,0,False,False,False,False,False,True
1,1,1,,0,0,1.4493039536971604,1,-0.584020387675433,1,False,True,False,False,False,False
1,2,0,-0.6877017629296617,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.13638674939459366,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,True,False,False
0,3,1,-0.6141930944583193,0,0,-0.7054503874960284,0,-0.584020387675433,1,False,False,False,True,False,False
0,1,1,,0,0,0.8563859969711373,0,-0.584020387675433,1,False,False,False,False,False,False
1,3,1,,1,1,-0.09443818934071205,0,2.3423166438085867,0,False,False,False,False,False,False
1,2,0,-0.09963241515892246,0,0,-0.4561553375089504,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.8347190998723465,0,0,-0.6346358983976443,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.3201584205729497,2,0,-0.5962065954125996,0,2.3423166438085867,0,False,True,False,True,False,False
0,2,1,0.12089359025510474,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.3201584205729497,1,0,-0.15477265233746226,0,0.8791481280665769,0,False,False,False,True,False,False
1,3,1,0.12089359025510474,0,0,3.049569641149371,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.3936670890442921,0,0,-0.673377696706447,1,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,1,,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,False,False,False
1,2,1,-2.170371605996638,0,2,0.9538845379835715,0,2.3423166438085867,0,False,True,False,False,False,False
1,3,0,-0.026123746687580066,0,0,-0.30562405350366767,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.6141930944583193,0,0,-0.570482894981317,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,1,-0.09963241515892246,0,0,-0.5323737091571948,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,0,,0,0,-0.6628976706048134,0,-0.584020387675433,1,True,False,False,False,False,False
0,1,1,-0.17314108363026487,0,0,2.333437064816796,0,-0.584020387675433,1,False,True,False,True,False,False
1,2,0,-0.9817364368150313,0,0,-0.4561553375089504,0,-0.584020387675433,1,False,True,True,False,False,False
0,3,1,,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,1,-0.46717575751563445,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.09963241515892246,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,-0.7612104314010041,0,0,-0.6578139052158756,0,-0.584020387675433,1,False,True,False,True,False,False
0,1,1,1.1500149488538984,1,0,3.4062106457658357,1,0.8791481280665769,0,False,True,False,False,True,False
0,3,1,2.1056276389813497,0,0,-0.7038650453657448,0,-0.584020387675433,1,False,True,False,False,True,False
0,3,1,,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,False,False,False
0,1,1,2.9877316606374587,0,0,1.3848384549570754,1,-0.584020387675433,1,False,False,False,False,False,True
1,1,1,-0.5406844259869769,0,1,3.572618216585448,1,0.8791481280665769,0,False,False,False,True,False,False
1,2,0,0.26791092719778953,0,1,0.49657430809410497,0,0.8791481280665769,0,False,True,False,True,False,False
0,2,1,0.26791092719778953,1,0,0.7252294230388382,0,0.8791481280665769,0,False,True,False,True,False,False
0,3,0,-0.17314108363026487,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,1,0.19440225872644715,0,0,-0.59683920789728,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,0.48843693261181675,2,0,-0.6524176445031797,0,2.3423166438085867,0,False,True,False,False,True,False
0,3,1,-0.17314108363026487,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,0,-0.6877017629296617,0,0,-0.673377696706447,0,-0.584020387675433,1,False,True,False,True,False,False
1,3,1,,0,0,-0.6638504002504164,0,-0.584020387675433,1,False,True,False,False,False,False
0,3,1,0.5619456010831592,0,0,-0.6546432209553085,0,-0.584020387675433,1,False,True,False,False,True,False
1,3,0,,1,0,0.5842254354895859,0,0.8791481280665769,0,True,False,False,False,False,False
0,1,1,1.2235236173252408,0,0,2.706907085893193,1,-0.584020387675433,1,False,True,False,False,True,False
0,3,0,-1.1655081079933873,1,0,-0.15477265233746226,0,0.8791481280665769,0,False,False,True,False,False,False
0,3,1,-0.6141930944583193,0,0,-0.6428903480471492,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,0,-0.7612104314010041,1,0,-0.5076027383715154,0,0.8791481280665769,0,False,True,False,True,False,False
0,3,0,-0.9817364368150313,0,0,-0.1544601570137045,0,-0.584020387675433,1,False,False,True,False,False,False
0,3,1,-0.6877017629296617,0,0,-0.6524176445031797,0,-0.584020387675433,1,False,True,False,True,False,False
0,3,1,2.9509773264017873,0,0,-0.6657558595416225,0,-0.584020387675433,1,True,False,False,False,False,True
0,2,1,-0.09963241515892246,1,0,0.3441375647976161,0,0.8791481280665769,0,False,True,False,True,False,False
